index,AADT_VN,BEGIN_POIN,COUNTY_COD,END_POINT,IRI_VN,IS_IMPROVED,ROUTE_ID,SPEED_LIMI,THROUGH_LA,YEAR_RECOR,curval,geometry_paths,tmiles,tons,value
44,50787,5.7,97,5.8,35,0,IN0000100000,65.0,4,2022,566,"[[[-88.31129509999994, 30.501466246000064], [-88.31039561899996, 30.501752035000038], [-88.31027182699995, 30.501791785000023]], [[-88.31130025399995, 30.501471837000054], [-88.31040077299997, 30.501757627000075], [-88.31027697999997, 30.50179737700006]], [[-88.31131128099997, 30.501468333000048], [-88.31040077299997, 30.501757627000075], [-88.31028794899999, 30.501793855000074]]]",17,914,321
45,44290,8.7,97,8.8,49,0,IN0000100000,0.0,4,2013,263,"[[[-88.10658784599997, 30.741354917000024], [-88.10635527999995, 30.741550052000036], [-88.10598529099997, 30.741872147000038], [-88.10562409999994, 30.74219034600003], [-88.10540735299998, 30.742389089000028]], [[-88.10541246099996, 30.742394741000055], [-88.10562920799998, 30.742195997000067], [-88.10599039899995, 30.741877798000075], [-88.10636038799998, 30.741555703000074], [-88.10659295399995, 30.741360567000072], [-88.10636038799998, 30.741555703000074], [-88.10599039899995, 30.741877798000075], [-88.10562920799998, 30.742195997000067], [-88.10541246099996, 30.742394741000055]]]",15,716,270
46,44750,8.7,97,8.8,49,0,IN0000100000,0.0,4,2014,268,"[[[-88.10658784599997, 30.741354917000024], [-88.10635527999995, 30.741550052000036], [-88.10598529099997, 30.741872147000038], [-88.10562409999994, 30.74219034600003], [-88.10540735299998, 30.742389089000028]], [[-88.10541246099996, 30.742394741000055], [-88.10562920799998, 30.742195997000067], [-88.10599039899995, 30.741877798000075], [-88.10636038799998, 30.741555703000074], [-88.10659295399995, 30.741360567000072], [-88.10636038799998, 30.741555703000074], [-88.10599039899995, 30.741877798000075], [-88.10562920799998, 30.742195997000067], [-88.10541246099996, 30.742394741000055]]]",16,750,286
47,45760,8.7,97,8.8,56,1,IN0000100000,60.0,4,2015,192,"[[[-88.26747959299996, 30.522260171000028], [-88.26671822199995, 30.52271367700007], [-88.26619418299998, 30.523024344000078], [-88.26609744799998, 30.52308201200003]], [[-88.26748473499998, 30.522265768000068], [-88.26672336399997, 30.522719274000053], [-88.26619932499995, 30.52302994300004], [-88.26610258999995, 30.52308761100005]], [[-88.26749440799995, 30.522260007000057], [-88.26672336399997, 30.522719274000053], [-88.26619932499995, 30.52302994300004], [-88.26611226399996, 30.523081844000046]]]",17,778,292
48,48670,8.7,97,8.8,49,1,IN0000100000,70.0,4,2016,176,"[[[-88.10658784599997, 30.741354917000024], [-88.10635527999995, 30.741550052000036], [-88.10598529099997, 30.741872147000038], [-88.10562409999994, 30.74219034600003], [-88.10540735299998, 30.742389089000028]], [[-88.10541246099996, 30.742394741000055], [-88.10562920799998, 30.742195997000067], [-88.10599039899995, 30.741877798000075], [-88.10636038799998, 30.741555703000074], [-88.10659295399995, 30.741360567000072], [-88.10636038799998, 30.741555703000074], [-88.10599039899995, 30.741877798000075], [-88.10562920799998, 30.742195997000067], [-88.10541246099996, 30.742394741000055]]]",17,783,311
49,49080,8.7,97,8.8,37,0,IN0000100000,70.0,4,2017,205,"[[[-88.10658784599997, 30.741354917000024], [-88.10635527999995, 30.741550052000036], [-88.10598529099997, 30.741872147000038], [-88.10562409999994, 30.74219034600003], [-88.10540735299998, 30.742389089000028]], [[-88.10541246099996, 30.742394741000055], [-88.10562920799998, 30.742195997000067], [-88.10599039899995, 30.741877798000075], [-88.10636038799998, 30.741555703000074], [-88.10659295399995, 30.741360567000072], [-88.10636038799998, 30.741555703000074], [-88.10599039899995, 30.741877798000075], [-88.10562920799998, 30.742195997000067], [-88.10541246099996, 30.742394741000055]]]",17,771,314
50,51136,8.7,97,8.8,40,1,IN0000100000,70.0,4,2018,242,"[[[-88.10658784599997, 30.741354917000024], [-88.10635527999995, 30.741550052000036], [-88.10598529099997, 30.741872147000038], [-88.10562409999994, 30.74219034600003], [-88.10540735299998, 30.742389089000028]], [[-88.10541246099996, 30.742394741000055], [-88.10562920799998, 30.742195997000067], [-88.10599039899995, 30.741877798000075], [-88.10636038799998, 30.741555703000074], [-88.10659295399995, 30.741360567000072], [-88.10636038799998, 30.741555703000074], [-88.10599039899995, 30.741877798000075], [-88.10562920799998, 30.742195997000067], [-88.10541246099996, 30.742394741000055]]]",17,792,323
51,50673,8.7,97,8.8,39,0,IN0000100000,70.0,4,2019,420,"[[[-88.10658784599997, 30.741354917000024], [-88.10635527999995, 30.741550052000036], [-88.10598529099997, 30.741872147000038], [-88.10562409999994, 30.74219034600003], [-88.10540735299998, 30.742389089000028]], [[-88.10541246099996, 30.742394741000055], [-88.10562920799998, 30.742195997000067], [-88.10599039899995, 30.741877798000075], [-88.10636038799998, 30.741555703000074], [-88.10659295399995, 30.741360567000072], [-88.10636038799998, 30.741555703000074], [-88.10599039899995, 30.741877798000075], [-88.10562920799998, 30.742195997000067], [-88.10541246099996, 30.742394741000055]]]",20,1070,390
52,45043,8.7,97,8.8,46,0,IN0000100000,68.6411149825784,4,2020,240,"[[[-88.10658784599997, 30.741354917000024], [-88.10635527999995, 30.741550052000036], [-88.10598529099997, 30.741872147000038], [-88.10562409999994, 30.74219034600003], [-88.10540735299998, 30.742389089000028]], [[-88.10541246099996, 30.742394741000055], [-88.10562920799998, 30.742195997000067], [-88.10599039899995, 30.741877798000075], [-88.10636038799998, 30.741555703000074], [-88.10659295399995, 30.741360567000072], [-88.10636038799998, 30.741555703000074], [-88.10599039899995, 30.741877798000075], [-88.10562920799998, 30.742195997000067], [-88.10541246099996, 30.742394741000055]]]",16,816,280
53,50787,8.7,97,8.8,36,0,IN0000100000,65.0,4,2022,566,"[[[-88.26747959299996, 30.522260171000028], [-88.26671822199995, 30.52271367700007], [-88.26619418299998, 30.523024344000078], [-88.26609744799998, 30.52308201200003]], [[-88.26748473499998, 30.522265768000068], [-88.26672336399997, 30.522719274000053], [-88.26619932499995, 30.52302994300004], [-88.26610258999995, 30.52308761100005]], [[-88.26749440799995, 30.522260007000057], [-88.26672336399997, 30.522719274000053], [-88.26619932499995, 30.52302994300004], [-88.26611226399996, 30.523081844000046]]]",17,914,321
54,44290,8.8,97,8.9,48,1,IN0000100000,60.0,4,2013,263,"[[[-88.26609744799998, 30.52308201200003], [-88.26536779199995, 30.523516992000054], [-88.26471600699995, 30.523906602000068]], [[-88.26610258999995, 30.52308761100005], [-88.26537293399997, 30.523522589000038], [-88.26472114799998, 30.52391220000004]], [[-88.26611226399996, 30.523081844000046], [-88.26537293399997, 30.523522589000038], [-88.26473081499995, 30.52390642100005]]]",15,716,270
55,44750,8.8,97,8.9,43,0,IN0000100000,60.0,4,2014,268,"[[[-88.26609744799998, 30.52308201200003], [-88.26536779199995, 30.523516992000054], [-88.26471600699995, 30.523906602000068]], [[-88.26610258999995, 30.52308761100005], [-88.26537293399997, 30.523522589000038], [-88.26472114799998, 30.52391220000004]], [[-88.26611226399996, 30.523081844000046], [-88.26537293399997, 30.523522589000038], [-88.26473081499995, 30.52390642100005]]]",16,750,286
